module_id,module_name,tag,meaning_zh,meaning_en,file,status,usage
S05,中文动物表情包 / Chinese Animal Memes,CAT_RELAX,先躺会儿,Cat Relax,S05-01_CAT_RELAX.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,RACCOON_BLAME,这也怪我？,Raccoon Blame,S05-02_RACCOON_BLAME.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,DOG_MONEY,先赚到再说,Dog Money,S05-03_DOG_MONEY.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,DUCK_FISH,我没摸鱼,Duck Fish,S05-04_DUCK_FISH.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,RABBIT_REPEAT,你说啥？,Rabbit Repeat,S05-05_RABBIT_REPEAT.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,HAMSTER_EAT,先吃饱再说,Hamster Eat,S05-06_HAMSTER_EAT.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,COW_THANKS,我会谢,Cow Thanks,S05-07_COW_THANKS.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,PENGUIN_CALM,问题不大,Penguin Calm,S05-08_PENGUIN_CALM.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,SHEEP_OFF,今天收工,Sheep Off,S05-09_SHEEP_OFF.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,CAPYBARA_SOAK,泡一会儿,Capybara Soak,S05-10_CAPYBARA_SOAK.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,FOX_STABLE,这波稳了,Fox Stable,S05-11_FOX_STABLE.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
S05,中文动物表情包 / Chinese Animal Memes,BEAR_NOODLES,边吃边想,Bear Noodles,S05-12_BEAR_NOODLES.png,PASS,智能剪辑反应、短视频转折、客户定制表情包
